id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
41434,WAKG,small_airport,"Agats Airport",-5.543288,138.134911,17,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Agats,0,WAKG,,,,,,,50,2022-10-02T00:12:47+00:00
311870,ID-0171,small_airport,"Aideralma Airstrip",-4.3341,137.8316,2730,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Aideralma,0,,,,,,,WX03,50,2022-10-02T11:16:01+00:00
310163,WABC,small_airport,"Akimuga Airstrip",-4.6043,137.6576,164,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Akimuga,0,WAYG,,,,,,,50,2024-04-10T18:07:08+00:00
430523,ID-0262,small_airport,"Aksal Airstrip",-4.34395,139.88754,5374,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Aksal,0,,,,,,,,50,2022-10-17T11:55:33+00:00
311832,ID-0168,small_airport,"Alama Airstrip",-4.2631,137.892387,3350,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Alama,0,,,,,,,WX04,50,2022-10-02T11:25:51+00:00
30623,WAPA,small_airport,"Amahai Airport",-3.347851,128.927093,29,AS,Indonesia,ID,Maluku,ID-MA,MA,Amahai,0,WAPA,WAPA,AHI,,,https://en.wikipedia.org/wiki/Amahai_Airport,,50,2022-09-19T16:41:52+00:00
310167,ID-0024,small_airport,"Amazu Airstrip",-5.6119,139.6234,58,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Amazu,0,,,,AMZ,,,,50,2022-10-02T00:08:19+00:00
41399,ID-0324,closed,"Yuruf Airport",-3.628919,140.953689,1844,AS,Indonesia,ID,Papua,ID-PA,PA,Amgotro,0,,,,,,,"WAJE, WAJE, RUF, ID-RUF",50,2025-02-25T14:49:58+00:00
41362,ID-AGD,small_airport,"Anggi Airport",-1.3858,133.8737,6644,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,"Anggi-Papua Island",0,WAUA,,AGD,,,https://en.wikipedia.org/wiki/Anggi_Airport,WASG,50,2024-10-13T13:04:14+00:00
329576,ID-0179,small_airport,"Anik Airstrip",0.537465,109.742062,139,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Anik,0,,,,ANI,,,,50,2018-10-30T22:40:25+00:00
311872,ID-0173,small_airport,"Apowo Airstrip",-4.063248,135.560018,5250,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Apowo,0,,,,,,,WX15,50,2022-10-02T20:07:09+00:00
310173,ID-0027,small_airport,"Arsbol Airstrip",-3.6941,138.9372,2800,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Arsbol,0,,,,ARS,,,,50,2022-10-02T00:08:42+00:00
41422,ID-0212,closed,"Arso Airport",-2.933333,140.78334,208,AS,Indonesia,ID,Papua,ID-PA,PA,Arso,0,,,,,,https://en.wikipedia.org/wiki/Arso_Airport,"WAJA, ARJ",50,2024-03-23T08:54:27+00:00
430529,ID-0268,small_airport,"Asotipo Airstrip",-4.17695,138.99303,5778,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Asotipo,0,,,,,,,,50,2022-10-17T12:09:29+00:00
41363,ID-AKQ,small_airport,"Gunung Batin Airport",-4.61114,105.232002,99,AS,Indonesia,ID,Lampung,ID-LA,LA,Astraksetra,0,WILM,,AKQ,,,https://en.wikipedia.org/wiki/Prince_M._Bunyamin_Air_Force_Base,"WIAG, Prince M. Bunyamin AFB",50,2024-03-23T04:25:24+00:00
430306,ID-0246,small_airport,"Asua Airport",-4.686881,140.789845,,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Asua,0,,,,,,,,50,2022-10-01T23:42:33+00:00
32488,WAST,small_airport,"Teminabuan Airport",-1.44545,132.021139,141,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Atinjoe,0,WAST,WAST,TXM,,,,,50,2022-09-19T16:44:54+00:00
311873,ID-0174,small_airport,"Aurimi Wzil Airstrip",-2.182,138.4343,290,AS,Indonesia,ID,Papua,ID-PA,PA,"Aurimi Wzil",0,,,,,,,WX18,50,2014-05-08T12:21:34+00:00
41365,WASA,small_airport,"Ayawasi Airport",-1.159779,132.464082,1560,AS,Indonesia,ID,"Papua Barat Daya (Southwest Papua)",ID-PD,PD,Ayawasi,0,WASA,WASA,AYW,,,https://en.wikipedia.org/wiki/Ayawasi_Airport,,50,2024-10-13T13:36:44+00:00
430172,WAMO,small_airport,"Siau/Sitaro Airport",2.648591,125.423301,155,AS,Indonesia,ID,"Sulawesi Utara (North Sulawesi)",ID-SA,SA,Balirangen,0,WAMO,,BRG,,,https://id.wikipedia.org/wiki/Bandar_Udara_Siau,,50,2022-09-26T11:37:44+00:00
41388,ID-NAF,small_airport,"Banaina Airport",2.72305011749,117.125999451,60,AS,Indonesia,ID,"Kalimantan Utara (North Kalimantan)",ID-KU,KU,"Banaina-Borneo Island",0,,,NAF,,,,,50,2016-01-12T23:57:40+00:00
41455,WIAK,small_airport,"Margahayu Airport",-6.98277997971,107.572998047,2184,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,"Bandung-Java Island",0,WICK,,,,,,"WIAK, Sulaiman",50,2014-01-25T13:44:39+00:00
41456,WIAP,small_airport,"Banyumas Airport",-6.464849948883057,105.96900177001953,92,AS,Indonesia,ID,Banten,ID-BT,BT,"Banyumas-Java Island",0,WIAP,,,,,,,50,2008-08-22T18:34:49+00:00
325373,ID-0175,small_airport,"Bareri Airport",-2.981793,137.782715,300,AS,Indonesia,ID,Papua,ID-PA,PA,Bareri,0,,,,BAR,,,,50,2017-11-05T17:14:49+00:00
325374,ID-0176,small_airport,"Bari Airport",-3.959166,139.901563,1660,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Bari,0,,,,BRI,,,,50,2022-10-02T15:43:14+00:00
325377,ID-0177,small_airport,"Basiem Airport",-6.058573,138.383542,49,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Basiem,0,,,,BAS,,,,50,2022-10-02T00:10:59+00:00
430650,ID-0269,small_airport,"Basir Airstrip",-4.372814,140.69684,1079,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Basir,0,,,,,,,,50,2022-10-23T05:17:48+00:00
535826,ID-0296,small_airport,"Kantor Besar Lengadang Estate Airstrip",-2.2618,112.11646,,AS,Indonesia,ID,"Kalimantan Tengah (Central Kalimantan)",ID-KT,KT,"Batu Ampar",0,,,,,,,,50,2024-07-02T14:39:55+00:00
535827,ID-0297,small_airport,"Nahiyang Estate Airstrip",-2.26711,112.19835,,AS,Indonesia,ID,"Kalimantan Tengah (Central Kalimantan)",ID-KT,KT,"Batu Ampar",0,,,,,,,,50,2024-07-02T14:40:45+00:00
535829,ID-0298,small_airport,"Batu Manangis Airport",-2.15009,112.26928,157,AS,Indonesia,ID,"Kalimantan Tengah (Central Kalimantan)",ID-KT,KT,"Batu Manangis",0,,,,,,,,50,2024-07-02T14:45:14+00:00
26802,WAWB,small_airport,"Betoambari Airport",-5.48688,122.569,164,AS,Indonesia,ID,"Sulawesi Tenggara (Southeast Sulawesi)",ID-SG,SG,"Bau Bau",0,WAWB,WAWB,BUW,,,https://en.wikipedia.org/wiki/Betoambari_Airport,WAAB,50,2024-03-23T16:32:08+00:00
430516,ID-0255,small_airport,"Baya Biru Airport",-3.618606,136.267033,2697,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,"Baya Biru",0,,,,,,,,50,2022-10-17T11:20:54+00:00
354209,ID-0222,small_airport,"Begowre Airstrip",-2.982106,140.925279,360,AS,Indonesia,ID,Papua,ID-PA,PA,Begowre,0,,,,,,,,50,2022-04-29T00:27:40+00:00
32282,WIBS,small_airport,"Sungai Pakning Bengkalis Airport",1.37,102.139999,3,AS,Indonesia,ID,Riau,ID-RI,RI,"Bengkalis-Sumatra Island",0,WIBS,WIBS,SEQ,,,https://en.wikipedia.org/wiki/Sei_Pakning_Airport,,50,2024-03-18T23:32:23+00:00
41465,WIOB,small_airport,"Bengkayang Airport",0.8333330154418945,109.48332977294922,294,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,"Bengkayang-Borneo Island",0,WIOB,,,,,,,50,2008-08-22T18:35:13+00:00
41470,WIPY,small_airport,"Bentayan Airport",-4.0225,103.379167,40,AS,Indonesia,ID,"Sumatera Selatan (South Sumatra)",ID-SS,SS,"Bentayan-Sumatra Island",0,WIPY,,PXA,,,https://en.wikipedia.org/wiki/Atung_Bungsu_Airport,,50,2024-05-17T08:52:43+00:00
310248,ID-0028,small_airport,"Bentiang Airstrip",0.9196,109.9155,2390,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Bentiang,0,,,,BTG,,,,50,2013-12-17T23:50:06+00:00
32626,ID-0213,closed,"Biak Manuhua Airport",-1.173038,136.081181,33,AS,Indonesia,ID,Papua,ID-PA,PA,Biak,0,,,,,,,WABU,50,2021-12-16T00:16:38+00:00
354216,ID-0224,small_airport,"Bias Airstrip",-3.999569,140.82041,397,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Bias,0,,,,,,,,50,2022-10-04T21:22:50+00:00
310263,ID-0032,small_airport,"Binuang Airstrip",3.7147,115.8517,2675,AS,Indonesia,ID,"Kalimantan Utara (North Kalimantan)",ID-KU,KU,Binuang,0,,,,,,,,50,2016-01-14T15:35:56+00:00
310265,ID-0033,small_airport,"Biri Airstrip",-2.87793,137.76816,415,AS,Indonesia,ID,Papua,ID-PA,PA,Biri,0,,,,BIR,,,,50,2013-12-19T01:29:07+00:00
343796,KJX,small_airport,"Kuala Batu Airport",3.735749,96.790109,3,AS,Indonesia,ID,Aceh,ID-AC,AC,Blangpidie,0,WITO,,KJX,,,https://en.wikipedia.org/wiki/Blangpidie_Airport,,50,2024-03-18T14:12:50+00:00
41366,ID-BJG,small_airport,"Boalang Airport",-0.972896,122.144997,146,AS,Indonesia,ID,"Sulawesi Tengah (Central Sulawesi)",ID-ST,ST,"Boalang-Celebes Island",0,,,,,,,BJG,50,2024-10-29T07:32:13+00:00
46482,WIAJ,small_airport,"Atang Senjaya Airport",-6.540278,106.755278,538,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Bogor,0,WIHJ,,,,,https://en.wikipedia.org/wiki/Atang_Senjaya_Airport,"WIAJ, Atang Sanjaya, Atang Sendjaja, Atang Senjaya",50,2024-04-10T15:51:50+00:00
430371,ID-0251,small_airport,"Bolakna Airstrip",-4.23424,140.000619,3435,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Bolakna,0,,,,,,,WX30,50,2022-10-06T15:09:17+00:00
523309,WAKL,small_airport,"Bomakia Airport",-5.806483,139.867647,30,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Bomakia,0,WAKL,,,BXG,,,,50,2024-03-20T03:47:11+00:00
310267,ID-0034,small_airport,"Bomela Airport",-4.693634,139.912707,5050,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Bomela,0,,,,BML,,,WX48,50,2022-10-02T16:45:53+00:00
310270,ID-0035,small_airport,"Bomoani Airstrip",-3.960942,135.939631,4966,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Bomomani,0,,,,BMO,,,,50,2022-10-02T20:54:52+00:00
523599,WAWN,small_airport,"Arung Palakka Airport",-4.459582,120.310436,130,AS,Indonesia,ID,"Sulawesi Selatan (South Sulawesi)",ID-SN,SN,Bone,0,WAWN,,APD,,,https://id.wikipedia.org/wiki/Bandar_Udara_Arung_Palakka,,50,2024-03-23T05:24:41+00:00
354037,ID-0219,small_airport,"Dewok Airport",-5.278326,140.681963,,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,"Boven Digoel Regency",0,,,,,,,,50,2022-10-01T19:34:10+00:00
354038,ID-0220,small_airport,"Manggelum Airport",-5.416371,140.436231,217,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,"Boven Digoel Regency",0,WAJT,,,,,,Mangelum,50,2022-10-03T17:45:23+00:00
310273,ID-0037,small_airport,"Buduk Kabul Airstrip",3.7978,115.7065,3260,AS,Indonesia,ID,"Kalimantan Utara (North Kalimantan)",ID-KU,KU,"Buduk Kabul",0,,,,BDK,,,,50,2016-01-14T15:36:54+00:00
333092,WIDL,small_airport,"Letung Airport",2.96447,105.75484,33,AS,Indonesia,ID,"Kepulauan Riau (Riau Islands)",ID-KR,KR,"Bukit Padi",0,WIDL,WIDL,LMU,,,https://en.wikipedia.org/wiki/Letung_Airport,,50,2024-08-21T14:45:20+00:00
32632,WAPB,small_airport,"Bula Airport",-3.10996,130.509995,10,AS,Indonesia,ID,Maluku,ID-MA,MA,Bula,0,WAPB,,,,,,,50,2022-09-19T16:42:25+00:00
42267,WAOU,small_airport,"Sanggu Airport",-1.6693,114.898003,23,AS,Indonesia,ID,"Kalimantan Tengah (Central Kalimantan)",ID-KT,KT,Buntok,0,WAGM,,,,,,,50,2024-04-10T18:01:19+00:00
41474,WRBU,small_airport,"Buntok Airport",-1.73250997066,114.838996887,59,AS,Indonesia,ID,"Kalimantan Tengah (Central Kalimantan)",ID-KT,KT,"Buntok-Borneo Island",0,WRBU,,,,,,,50,2013-12-20T20:39:40+00:00
310281,ID-0039,small_airport,"Calang Airstrip",4.612323,95.623534,32,AS,Indonesia,ID,Aceh,ID-AC,AC,Calang,0,,,,,,,,50,2024-10-13T15:23:30+00:00
356434,ID-0243,small_airport,"Lido Airstrip",-6.75333,106.81171,,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Cigombong,0,,,,,,,,50,2022-08-31T11:13:07+00:00
356435,ID-0244,small_airport,"Cikembar Airport",-6.96924,106.78866,,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Cikembar,0,,,,,,,,50,2022-08-31T11:14:08+00:00
356433,ID-0242,small_airport,"Citeurup Paraglider Airport",-6.50814,106.87836,,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,Citeurup,0,,,,,,,,50,2022-08-31T11:11:42+00:00
310291,ID-0040,small_airport,"Comoro Airstrip",-5.926349,138.631461,21,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Comoro,0,,,,COM,,,,50,2022-10-02T00:10:21+00:00
354226,ID-0228,small_airport,"Daboto Airstrip",-3.295335,136.408213,2575,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Daboto,0,,,,,,,"Intan Jaya",50,2022-10-01T23:04:05+00:00
354223,ID-0227,small_airport,"Dadou Airstrip",-3.686435,136.063217,4679,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Dadou,0,,,,,,,Paniai,50,2022-10-01T23:03:30+00:00
310293,ID-0041,small_airport,"Dagai Airport",-3.305757,137.94366,347,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Dagai,0,,,,DAG,,,WX59,50,2022-10-04T18:55:22+00:00
310490,ID-0089,small_airport,"Lake Holmes Airstrip",-2.4716,137.9879,1300,AS,Indonesia,ID,Papua,ID-PA,PA,"Danau Bira",0,,,,LAH,,,WZ61,50,2013-12-31T22:42:39+00:00
348821,ID-0194,small_airport,"Korowai Batu Danowage Airport",-5.2127,140.017582,340,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Danowage,0,WAKY,,,,,,,50,2024-04-09T09:02:11+00:00
310297,ID-0043,small_airport,"Daufo Airfield",-3.1737,137.2544,500,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Daufo,0,,,,DOF,,,,50,2022-10-04T20:29:44+00:00
350466,ID-0198,small_airport,"Denom Airstrip",-5.144915,140.967065,2200,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Denom,0,,,,,,,,50,2022-10-02T00:07:41+00:00
310313,ID-0044,small_airport,"Derapos Airstrip",-2.9737,137.2234,433,AS,Indonesia,ID,Papua,ID-PA,PA,Derapos,0,,,,DEP,,,WX68,50,2013-12-21T10:53:42+00:00
507408,ID-0278,small_airport,"Yabirik Airstripe",-4.455186,138.823079,6151,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,"Distrik Wusama",0,,,,,,,"yabirik airstripe",50,2023-03-24T20:39:25+00:00
30934,WAPD,small_airport,"Rar Gwamar Airport",-5.773724,134.209245,61,AS,Indonesia,ID,Maluku,ID-MA,MA,"Dobo-Warmar Island",0,WAPD,WAPD,DOB,,,https://en.wikipedia.org/wiki/Dobo_Airport,,50,2025-02-22T08:40:32+00:00
310319,ID-0045,small_airport,"Dou Airstrip",-3.2625,138.1484,299,AS,Indonesia,ID,Papua,ID-PA,PA,Dou,0,,,,DOU,,,,50,2013-12-21T11:58:53+00:00
430653,ID-0271,small_airport,"Dulis Airstrip",-4.077257,140.661553,860,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Dulis,0,,,,,,,,50,2022-10-23T05:48:26+00:00
310323,ID-0047,small_airport,"Eaopoto Airstrip",-3.9497,136.3383,5900,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Eaopoto,0,,,,EPO,,,WX75,50,2022-10-04T18:25:28+00:00
430520,ID-0259,small_airport,"Eipomek Airstrip",-4.45584,140.02531,6155,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Eipomek,0,,,,,,,Eipumek,50,2022-10-17T11:50:29+00:00
311871,ID-0172,small_airport,"Enggano Airport",-5.305621,102.189546,36,AS,Indonesia,ID,Bengkulu,ID-BE,BE,Enggano,0,WIGE,,ENG,,,,,50,2024-05-22T10:56:05+00:00
310326,ID-0048,small_airport,"Engkadik Airstrip",0.9797,110.0282,2190,AS,Indonesia,ID,"Kalimantan Barat (West Kalimantan)",ID-KB,KB,Engkadik,0,,,,ENK,,,WX79,50,2013-12-21T13:28:22+00:00
430308,ID-0248,small_airport,"Eragayam Airport",-3.733891,138.747881,,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Eragayam,0,,,,,,,,50,2022-10-02T00:04:08+00:00
310330,ID-0049,small_airport,"Eri Airstrip",-2.6308,138.1094,440,AS,Indonesia,ID,Papua,ID-PA,PA,Eri,0,,,,ERI,,,WX83,50,2013-12-22T12:38:23+00:00
525699,ID-0288,small_airport,"Siboru Airport",-2.928056,132.089447,406,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Fakfak,0,,,,,,,,50,2024-04-15T04:38:13+00:00
430521,ID-0260,small_airport,"Famek Airstrip",-4.425722,140.021954,6204,AS,Indonesia,ID,"Papua Pegunungan (Highland Papua)",ID-PP,PP,Famek,0,,,,,,,,50,2022-10-17T11:51:40+00:00
310332,ID-0050,small_airport,"Faowi Airstrip",-3.2301,137.7262,333,AS,Indonesia,ID,"Papua Tengah (Central Papua)",ID-PT,PT,Faowi,0,,,,FAO,,,WX84,50,2022-10-04T19:42:27+00:00
310333,ID-0051,closed,"Fef Airport",-0.8103,132.4326,1406,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Fef,0,,,,,,,"WX85, FEF",50,2022-08-28T03:59:59+00:00
3268,WA1B,small_airport,"Aru Airport",-6.57342004776001,134.14700317382812,165,AS,Indonesia,ID,Maluku,ID-MA,MA,"Fekfetal / Jerdera-Trangan Island",0,WA1B,,,WA1B,,,,50,2008-08-22T18:32:48+00:00
310334,ID-0052,small_airport,"Foao Airstrip",-3.066,139.099,241,AS,Indonesia,ID,Papua,ID-PA,PA,Foao,0,,,,FOA,,,WX86,50,2013-12-22T13:23:59+00:00
310338,ID-0053,small_airport,"Fruata Airstrip",-2.9858,133.5001,192,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,Fruata,0,,,,FRU,,,WX87,50,2013-12-22T13:42:04+00:00
31515,ID-GAV,small_airport,"Gag Island Airport",-0.400556,129.895004,1,AS,Indonesia,ID,"Papua Barat (West Papua)",ID-PB,PB,"Gag Island",0,,,GAV,,,https://fr.wikipedia.org/wiki/A%C3%A9roport_de_l%27%C3%AEle_de_Gag,,50,2024-05-20T13:51:39+00:00
